date_time,fraction,Tf,ug_frac,ug_sum,d13C,d13C_std,Fm,Fm_std
6:46:18 PM,-1,150.073163,0,0,0,0,0,0
6:46:19 PM,0,150.154216,0,0,0,0,0,0
7:14:59 PM,1,270.227582,36.140714,36.140714,-27.36,0.1,1.0659,0.0043
7:24:00 PM,2,315.319871,47.64521,83.785924,-27.67,0.1,1.0643,0.0039
7:33:06 PM,3,360.433268,88.60254,172.388464,-28.07,0.1,1.0562,0.0026
7:40:11 PM,4,395.157009,126.322854,298.711319,-28.16,0.1,1.0596,0.0027
7:45:35 PM,5,421.393448,255.349359,554.060678,-28.55,0.1,1.0558,0.002
7:51:03 PM,6,448.311771,301.736634,855.797312,-28.33,0.1,1.0628,0.0024
7:56:13 PM,7,474.010192,77.697807,933.495119,-27.55,0.1,1.0603,0.0025
8:26:45 PM,8,625.366274,49.973436,983.468555,-27.36,0.1,1.0494,0.0038
