sample_ID,sample_type,mean_E,std_E,mean_Fm,std_Fm,F14R,std_F14R,OCpetro_est
AmRi_2005_3m,riv_sed,154.0819564,23.43709721,0.696330375,0.001306267,0.43652589,0.003740438,0
AmRi_ap2014_30m,riv_sed,147.7391199,20.11819784,0.799807522,0.001176084,0.436695769,0.003742448,0
AmRi_ap2014_3m,riv_sed,146.4673509,19.780034,0.781650765,0.002351374,0.503536571,0.010369774,0
AmRi_ap2014_49m,riv_sed,145.892436,20.49024943,0.786687199,0.002406048,0.472081031,0.005010952,0
AmRi_ju2014_30m,riv_sed,144.7192024,20.14097773,0.808557245,0.001338414,0.550738407,0.003532781,0
AmRi_ju2014_3m,riv_sed,146.7953002,21.00348997,0.734932272,0.001109745,0.456723557,0.004507815,0
AmRi_ju2014_54m,riv_sed,146.9550062,20.29649995,0.821059561,0.001075696,0.468229535,0.003797907,0
AmRi_KS12_1-2,riv_sed,159.9981426,23.77294295,0.806926504,0.001801373,0.678724558,0.005952635,0
AmRi_KS12_22-23,riv_sed,153.7368467,21.57156955,0.800980558,0.002399745,0.62074238,0.006243826,0
AmRi_KS18_96_99,riv_sed,164.5424927,27.43793441,0.743043869,0.002249371,0.506212857,0.006563107,0
AmRi_PPL_DOM,dom,163.4827052,14.30504588,1.038585193,0.001447763,0.860503688,0.0049381,0
Ant_05026E_1E84-86,mar_sed,181.127692,21.10360312,0.459364125,0.000756438,0.278151045,0.002460774,0.129196117
Ant_05026E_7E24-26,mar_sed,180.8832102,21.97223651,0.224808149,0.000824879,0.536205032,0.003975112,0.032451055
Ant_05026E_8E193-195,mar_sed,179.0379454,21.13946786,0.237365553,0.000862335,0.606673975,0.004065711,0.061684418
Ant_05026E_8E24-26,mar_sed,193.5510656,27.466851,0.174737502,0.000560578,0.25342203,0.002301526,0
Ant_KC11_0-1,mar_sed,169.2599477,26.0512483,0.760731932,0.001335953,0.87769262,0.005588729,0
Ant_KC11_100-101,mar_sed,172.5384554,25.46508913,0.43613517,0.001206705,0.902504398,0.00285526,0
Ant_KC11_200-201,mar_sed,173.9486467,27.05288681,0.31504655,0.000956807,0.833132563,0.00385537,0.019682161
Ant_KC11_300-301,mar_sed,177.1267516,27.37257303,0.27290795,0.001158949,0.75696069,0.004931976,0.030446005
Ant_KC11_398-399,mar_sed,177.0680734,26.9946368,0.221208754,0.001200608,0.632644876,0.003272438,0.046049954
AtDe_surf_2009,riv_sed,177.556987,25.09608259,0.808808352,0.000899829,0.769890837,0.002913462,0
AtRi_inter_2009,riv_sed,167.7266888,23.69322504,0.88870554,0.001402478,0.8838855,0.004937541,0
BaSa8_psol_1445-1446,soil,166.7458918,16.82116503,0.385597369,0.000739391,0.986977508,0.002231392,0
